date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:47	9965/9965	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:47%20GMT	https://interno-template.webflow.io/project/creative-workplace-design	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/project/creative-workplace-design.html	(from https://interno-template.webflow.io/)
11:52:47	234286/234286	---M--	200	added ('OK')	image/jpeg	etag:%22762ba003b466496b513ed6aa8fb7fc9c%22	https://uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1dcfbe7008298f5887664_project-image-1.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1dcfbe7008298f5887664_project-image-1.jpg	(from https://interno-template.webflow.io/)
11:52:47	10567/10567	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:47%20GMT	https://interno-template.webflow.io/project-categories/minimalist	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/project-categories/minimalist.html	(from https://interno-template.webflow.io/)
11:52:47	220097/220097	---M--	200	added ('OK')	image/jpeg	etag:%22b0e2e142ebcf9bbaf0d5379a6cb22b18%22	https://uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1dd05b4f9a181178c70b9_project-image-2.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1dd05b4f9a181178c70b9_project-image-2.jpg	(from https://interno-template.webflow.io/)
11:52:48	9961/9961	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:47%20GMT	https://interno-template.webflow.io/project/bedroom-interior-pot-work	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/project/bedroom-interior-pot-work.html	(from https://interno-template.webflow.io/)
11:52:49	186432/186432	---M--	200	added ('OK')	image/jpeg	etag:%227a18c6d91d5e41b44b51e9b655f9a86b%22	https://uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1dd10e8f59f8f8287319f_project-image-3.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1dd10e8f59f8f8287319f_project-image-3.jpg	(from https://interno-template.webflow.io/)
11:52:49	9374/9374	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:48%20GMT	https://interno-template.webflow.io/project-categories/modern	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/project-categories/modern.html	(from https://interno-template.webflow.io/)
11:52:49	9978/9978	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:49%20GMT	https://interno-template.webflow.io/project/light-ambience-sepia-design	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/project/light-ambience-sepia-design.html	(from https://interno-template.webflow.io/)
11:52:50	9408/9408	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:50%20GMT	https://interno-template.webflow.io/project-categories/scandinavian	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/project-categories/scandinavian.html	(from https://interno-template.webflow.io/)
11:52:50	268831/268831	---M--	200	added ('OK')	image/jpeg	etag:%228b25cc047dec3f8dfff54c473e10e68f%22	https://uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1dd203305d3906782aa29_project-image-4.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1dd203305d3906782aa29_project-image-4.jpg	(from https://interno-template.webflow.io/)
